Season,Latitude,Longitude,FRP
DJF,4.42,7.1634,27.6
DJF,4.4223,7.1578,29.3
DJF,4.4228,7.173,38.3
DJF,4.4231,7.1553,13.8
DJF,4.4247,7.161,35.6
DJF,4.4251,7.1595,31.2
DJF,4.4256,7.1669,38.6
DJF,4.4281,7.1603,19.0
DJF,4.4578,7.4671,16.7
DJF,4.4588,6.3282,15.5
DJF,4.4598,7.4683,15.1
DJF,4.4635,7.4713,15.1
DJF,4.4916,7.0823,23.7
DJF,4.5087,5.7461,15.6
DJF,4.5111,5.7443,16.7
DJF,4.5122,5.7433,14.9
DJF,4.5504,7.989,28.1
DJF,4.5687,7.0346,25.3
DJF,4.5707,7.0213,33.1
DJF,4.6776,6.8506,25.2
DJF,4.7545,5.9784,41.5
DJF,4.811,5.9614,16.5
DJF,4.814,5.9585,68.1
DJF,4.8168,5.9525,37.9
DJF,4.8171,5.9555,25.1
DJF,4.8173,5.9619,15.3
DJF,4.8196,5.966,24.1
DJF,4.8281,-2.1409,276.4
DJF,4.8779,7.2483,22.0
DJF,4.8811,6.3717,20.6
DJF,4.8881,7.1186,13.0
DJF,4.8892,7.1204,13.5
DJF,4.8902,7.1238,16.4
DJF,4.8941,7.1198,26.1
DJF,4.8942,7.1223,15.6
DJF,4.9288,6.8596,25.8
DJF,4.9467,6.4326,53.1
DJF,4.9544,7.3813,64.9
DJF,4.9674,6.648,26.5
DJF,4.9675,6.6433,18.0
DJF,4.9792,6.9353,51.6
DJF,4.9819,6.6883,74.0
DJF,4.9832,6.6792,223.0
DJF,4.9987,6.6947,61.9
DJF,5.0054,7.5039,89.7
DJF,5.0079,8.5819,56.3
DJF,5.0183,7.15,63.5
DJF,5.0189,8.6635,57.3
DJF,5.0206,6.5287,61.0
DJF,5.0225,8.6454,436.7
DJF,5.0333,6.6964,29.7
DJF,5.0414,7.6058,131.4
DJF,5.0433,8.5477,53.9
DJF,5.046,6.5446,28.4
DJF,5.0552,8.5145,61.9
DJF,5.0792,6.5643,42.4
DJF,5.0832,6.5095,129.4
DJF,5.0842,6.5542,45.4
DJF,5.0864,8.6205,88.2
DJF,5.0914,7.3259,22.0
DJF,5.1098,6.505,18.4
DJF,5.1229,8.6136,144.9
DJF,5.1271,7.008,185.7
DJF,5.1325,8.6034,80.8
DJF,5.134,8.6136,181.2
DJF,5.1362,8.6123,104.5
DJF,5.1406,8.6321,59.1
DJF,5.1468,8.5764,83.8
DJF,5.1563,8.5751,60.7
DJF,5.1594,8.3917,61.5
DJF,5.1597,8.4046,68.9
DJF,5.1672,8.4135,57.7
